kernel,pair_type,similarity
Linear,Different class,1.8957164435571405
Linear,Same class,-10.66382416426727
Linear,Different class,2.1957593863965794
Linear,Different class,-12.568013377623965
Linear,Same class,15.426250434355921
Linear,Same class,-2.964245548294079
Linear,Same class,-4.9367823681621115
Linear,Different class,-10.20127467842262
Linear,Same class,-5.7909754644527105
Linear,Different class,4.669760387229941
Linear,Same class,3.75831123950738
Linear,Same class,1.5255402782764647
Linear,Same class,10.811379657951674
Linear,Same class,10.07561180773786
Linear,Same class,10.097145627504567
Linear,Same class,26.396267402664417
Linear,Different class,7.10240008403677
Linear,Same class,-3.1546824678797214
Linear,Different class,-4.797002605777373
Linear,Same class,8.018719986590508
Linear,Same class,8.13400177405486
Linear,Same class,-0.22834968020946536
Linear,Different class,3.741523596563118
Linear,Different class,-7.4288822755474655
Linear,Different class,5.9490047066009195
Linear,Different class,10.0703383659955
Linear,Different class,-8.340954987484949
Linear,Same class,-4.293729775913824
Linear,Different class,-5.035736184830568
Linear,Same class,-4.63952500081548
Linear,Different class,-4.094978080812373
Linear,Different class,1.9550313733867166
Linear,Same class,-2.4638340837876136
Linear,Different class,-6.007126386519782
Linear,Different class,-7.4353428886830795
Linear,Different class,-4.4788783525628935
Linear,Different class,1.4001211788213535
Linear,Different class,-5.160266193181
Linear,Same class,7.550598026041209
Linear,Different class,-0.05603720947493665
Linear,Different class,12.794422041582273
Linear,Same class,0.8546587484525274
Linear,Same class,-3.9155622401140273
Linear,Different class,-1.1181212632675175
Linear,Same class,-0.4641329760123527
Linear,Same class,-5.766793880835816
Linear,Same class,0.023789650622834786
Linear,Different class,4.746565168931455
Linear,Different class,1.9365052591568415
Linear,Same class,-7.1249742280644295
Linear,Same class,10.43426537672872
Linear,Different class,7.5223369206691055
Linear,Same class,-1.3134009331377605
Linear,Different class,-3.370437952942136
Linear,Same class,7.616448625235169
Linear,Different class,-2.2995488314851147
Linear,Different class,7.060652139238273
Linear,Same class,-10.142538230336148
Linear,Same class,-2.981822318114817
Linear,Same class,7.814723506677817
Linear,Same class,3.610333023084846
Linear,Different class,2.1805329044548207
Linear,Different class,-0.33550280029794555
Linear,Different class,-4.561309474976613
Linear,Same class,11.36347883366509
Linear,Different class,8.761123385512132
Linear,Same class,4.556747627523788
Linear,Different class,-12.92382623127702
Linear,Same class,6.5435039467641465
Linear,Different class,-6.935671584251986
Linear,Same class,-4.096260028896319
Linear,Different class,-1.3756291427745615
Linear,Different class,-11.386053274594959
Linear,Same class,6.075709833604149
Linear,Same class,-0.14058738621527458
Linear,Different class,3.654272539646591
Linear,Different class,-2.972603891313014
Linear,Same class,4.445782251711377
Linear,Same class,-13.822804575113418
Linear,Different class,2.5473559521809594
Linear,Same class,-3.6103644030279134
Linear,Different class,2.9634641485278337
Linear,Different class,-0.5067587761903274
Linear,Different class,-2.616453172621587
Linear,Different class,-5.998267009254365
Linear,Same class,-5.477554274272184
Linear,Different class,2.402756698848425
Linear,Different class,2.9239754640865785
Linear,Same class,5.366225326572868
Linear,Same class,26.765976868336825
Linear,Different class,-5.92576927206144
Linear,Different class,3.472164989363455
Linear,Different class,8.542023989634007
Linear,Different class,4.204129341654625
Linear,Same class,-1.2433849920393596
Linear,Different class,7.986343796623036
Linear,Different class,2.3853511693078673
Linear,Same class,2.3320032408840747
Linear,Same class,0.6782510740240982
Linear,Different class,-5.974049026337369
Linear,Same class,7.752931453350367
Linear,Different class,-1.848365850630608
Linear,Same class,1.629124385489234
Linear,Different class,0.4910423476852368
Linear,Different class,-3.28302354059321
Linear,Different class,-7.349845935907462
Linear,Different class,-6.926173148737036
